hash,horario_primeira_aparicao,horario_ultima_aparicao,posicao_inicial,posicao_final,id_imagem,numero_camera
818257ed,2025-08-20 14:18:20,2025-08-20 14:18:45,"(181,330)","(488,166)",img_286,23
818257ed,2025-08-20 14:18:57,2025-08-20 14:19:22,"(6,481)","(100,410)",img_864,24
818257ed,2025-08-20 14:19:33,2025-08-20 14:19:58,"(169,218)","(401,496)",img_902,25
818257ed,2025-08-20 14:20:11,2025-08-20 14:20:36,"(321,217)","(105,6)",img_958,26
818257ed,2025-08-20 14:20:50,2025-08-20 14:21:15,"(35,9)","(378,183)",img_212,27
818257ed,2025-08-20 14:21:25,2025-08-20 14:21:50,"(83,106)","(382,434)",img_891,28
818257ed,2025-08-20 14:22:02,2025-08-20 14:22:27,"(86,94)","(296,72)",img_902,29
818257ed,2025-08-20 14:22:35,2025-08-20 14:23:00,"(459,372)","(215,39)",img_747,30
818257ed,2025-08-20 14:23:06,2025-08-20 14:23:31,"(186,149)","(132,54)",img_818,31
818257ed,2025-08-20 14:23:37,2025-08-20 14:24:02,"(66,200)","(431,461)",img_212,32
818257ed,2025-08-20 14:24:16,2025-08-20 14:24:41,"(419,169)","(252,470)",img_302,33
818257ed,2025-08-20 14:24:48,2025-08-20 14:25:13,"(48,322)","(480,255)",img_251,34
818257ed,2025-08-20 14:25:28,2025-08-20 14:25:53,"(378,381)","(106,371)",img_936,35
818257ed,2025-08-20 14:26:05,2025-08-20 14:26:30,"(60,113)","(96,257)",img_636,36
818257ed,2025-08-20 14:26:41,2025-08-20 14:27:06,"(333,400)","(394,326)",img_483,37
818257ed,2025-08-20 14:27:17,2025-08-20 14:27:42,"(82,270)","(395,377)",img_501,38
818257ed,2025-08-20 14:27:54,2025-08-20 14:28:19,"(367,418)","(258,326)",img_877,39
818257ed,2025-08-20 14:28:33,2025-08-20 14:28:58,"(22,157)","(312,354)",img_521,40
818257ed,2025-08-20 14:29:09,2025-08-20 14:29:34,"(34,320)","(487,172)",img_168,41
818257ed,2025-08-20 14:29:39,2025-08-20 14:30:04,"(3,339)","(157,455)",img_429,42
818257ed,2025-08-20 14:30:09,2025-08-20 14:30:34,"(287,220)","(473,429)",img_621,43
818257ed,2025-08-20 14:30:43,2025-08-20 14:31:08,"(115,428)","(96,457)",img_760,44
818257ed,2025-08-20 14:31:20,2025-08-20 14:31:45,"(90,147)","(107,180)",img_618,45
818257ed,2025-08-20 14:31:55,2025-08-20 14:32:20,"(250,189)","(465,495)",img_571,46
818257ed,2025-08-20 14:32:33,2025-08-20 14:32:58,"(239,197)","(348,364)",img_936,47
0aa49a39,2025-08-20 14:04:00,2025-08-20 14:04:29,"(430,177)","(163,194)",img_549,1
0aa49a39,2025-08-20 14:04:43,2025-08-20 14:05:12,"(210,392)","(429,67)",img_707,2
0aa49a39,2025-08-20 14:05:19,2025-08-20 14:05:48,"(200,162)","(423,393)",img_557,3
0aa49a39,2025-08-20 14:05:56,2025-08-20 14:06:25,"(90,144)","(159,296)",img_390,4
0aa49a39,2025-08-20 14:06:31,2025-08-20 14:07:00,"(445,480)","(225,386)",img_313,5
0aa49a39,2025-08-20 14:07:11,2025-08-20 14:07:40,"(267,290)","(462,412)",img_543,6
0aa49a39,2025-08-20 14:07:53,2025-08-20 14:08:22,"(393,263)","(353,188)",img_828,7
0aa49a39,2025-08-20 14:08:30,2025-08-20 14:08:59,"(359,48)","(178,164)",img_307,8
0aa49a39,2025-08-20 14:09:11,2025-08-20 14:09:40,"(19,30)","(130,47)",img_829,9
0aa49a39,2025-08-20 14:09:46,2025-08-20 14:10:15,"(33,25)","(339,39)",img_511,10
0aa49a39,2025-08-20 14:10:30,2025-08-20 14:10:59,"(398,446)","(312,362)",img_788,11
0aa49a39,2025-08-20 14:11:10,2025-08-20 14:11:39,"(168,173)","(21,392)",img_629,12
0aa49a39,2025-08-20 14:11:46,2025-08-20 14:12:15,"(104,261)","(40,50)",img_574,13
0aa49a39,2025-08-20 14:12:20,2025-08-20 14:12:49,"(405,442)","(318,186)",img_322,14
0aa49a39,2025-08-20 14:12:58,2025-08-20 14:13:27,"(325,421)","(281,377)",img_607,15
0aa49a39,2025-08-20 14:13:38,2025-08-20 14:14:07,"(304,300)","(113,484)",img_671,16
0aa49a39,2025-08-20 14:14:22,2025-08-20 14:14:51,"(317,378)","(271,143)",img_299,17
0aa49a39,2025-08-20 14:14:58,2025-08-20 14:15:27,"(330,349)","(469,406)",img_950,18
0aa49a39,2025-08-20 14:15:38,2025-08-20 14:16:07,"(9,98)","(227,40)",img_916,19
0aa49a39,2025-08-20 14:16:18,2025-08-20 14:16:47,"(440,47)","(44,66)",img_618,20
0aa49a39,2025-08-20 14:17:01,2025-08-20 14:17:30,"(377,359)","(315,126)",img_492,21
0aa49a39,2025-08-20 14:17:42,2025-08-20 14:18:11,"(90,242)","(393,10)",img_108,22
0aa49a39,2025-08-20 14:18:21,2025-08-20 14:18:50,"(313,222)","(419,82)",img_416,23
0aa49a39,2025-08-20 14:19:04,2025-08-20 14:19:33,"(419,188)","(63,416)",img_857,24
0aa49a39,2025-08-20 14:19:38,2025-08-20 14:20:07,"(455,159)","(359,40)",img_606,25
0aa49a39,2025-08-20 14:20:14,2025-08-20 14:20:43,"(7,258)","(450,13)",img_486,26
0aa49a39,2025-08-20 14:20:54,2025-08-20 14:21:23,"(112,131)","(39,184)",img_887,27
0aa49a39,2025-08-20 14:21:28,2025-08-20 14:21:57,"(483,407)","(18,423)",img_282,28
0aa49a39,2025-08-20 14:22:04,2025-08-20 14:22:33,"(299,207)","(349,423)",img_251,29
0aa49a39,2025-08-20 14:22:38,2025-08-20 14:23:07,"(66,20)","(5,124)",img_631,30
0aa49a39,2025-08-20 14:23:13,2025-08-20 14:23:42,"(368,185)","(282,72)",img_382,31
0aa49a39,2025-08-20 14:23:50,2025-08-20 14:24:19,"(388,324)","(280,56)",img_959,32
0aa49a39,2025-08-20 14:24:27,2025-08-20 14:24:56,"(71,219)","(115,403)",img_589,33
0aa49a39,2025-08-20 14:25:06,2025-08-20 14:25:35,"(415,199)","(37,437)",img_799,34
0aa49a39,2025-08-20 14:25:49,2025-08-20 14:26:18,"(489,202)","(160,444)",img_997,35
0aa49a39,2025-08-20 14:26:33,2025-08-20 14:27:02,"(126,183)","(427,95)",img_218,36
0aa49a39,2025-08-20 14:27:12,2025-08-20 14:27:41,"(418,273)","(344,112)",img_741,37
0aa49a39,2025-08-20 14:27:49,2025-08-20 14:28:18,"(395,226)","(110,218)",img_263,38
0aa49a39,2025-08-20 14:28:28,2025-08-20 14:28:57,"(229,237)","(33,202)",img_946,39
0aa49a39,2025-08-20 14:29:06,2025-08-20 14:29:35,"(227,291)","(35,260)",img_366,40
0aa49a39,2025-08-20 14:29:47,2025-08-20 14:30:16,"(9,478)","(488,413)",img_481,41
0aa49a39,2025-08-20 14:30:25,2025-08-20 14:30:54,"(377,129)","(48,142)",img_957,42
0aa49a39,2025-08-20 14:31:06,2025-08-20 14:31:35,"(412,51)","(95,430)",img_796,43
0aa49a39,2025-08-20 14:31:41,2025-08-20 14:32:10,"(356,448)","(206,498)",img_694,44
0aa49a39,2025-08-20 14:32:22,2025-08-20 14:32:51,"(235,443)","(117,76)",img_115,45
0aa49a39,2025-08-20 14:33:03,2025-08-20 14:33:32,"(485,381)","(184,375)",img_405,46
0aa49a39,2025-08-20 14:33:46,2025-08-20 14:34:15,"(184,154)","(81,317)",img_799,47
9e17b021,2025-08-20 14:01:00,2025-08-20 14:01:31,"(364,283)","(226,153)",img_452,1
9e17b021,2025-08-20 14:01:38,2025-08-20 14:02:09,"(100,399)","(298,475)",img_612,2
9e17b021,2025-08-20 14:02:16,2025-08-20 14:02:47,"(477,82)","(162,395)",img_879,3
9e17b021,2025-08-20 14:02:58,2025-08-20 14:03:29,"(439,404)","(337,8)",img_285,4
9e17b021,2025-08-20 14:03:44,2025-08-20 14:04:15,"(451,44)","(170,456)",img_969,5
9e17b021,2025-08-20 14:04:28,2025-08-20 14:04:59,"(357,438)","(401,400)",img_706,6
9e17b021,2025-08-20 14:05:06,2025-08-20 14:05:37,"(55,140)","(299,56)",img_961,7
9e17b021,2025-08-20 14:05:48,2025-08-20 14:06:19,"(445,429)","(257,174)",img_808,8
9e17b021,2025-08-20 14:06:29,2025-08-20 14:07:00,"(89,254)","(38,388)",img_597,9
9e17b021,2025-08-20 14:07:10,2025-08-20 14:07:41,"(131,313)","(38,444)",img_402,10
9e17b021,2025-08-20 14:07:48,2025-08-20 14:08:19,"(187,212)","(497,189)",img_730,11
9e17b021,2025-08-20 14:08:31,2025-08-20 14:09:02,"(86,235)","(217,423)",img_554,12
9e17b021,2025-08-20 14:09:07,2025-08-20 14:09:38,"(87,237)","(119,282)",img_627,13
9e17b021,2025-08-20 14:09:50,2025-08-20 14:10:21,"(493,89)","(263,11)",img_863,14
9e17b021,2025-08-20 14:10:31,2025-08-20 14:11:02,"(364,456)","(262,416)",img_825,15
9e17b021,2025-08-20 14:11:12,2025-08-20 14:11:43,"(152,204)","(155,435)",img_354,16
9e17b021,2025-08-20 14:11:50,2025-08-20 14:12:21,"(464,412)","(400,240)",img_854,17
9e17b021,2025-08-20 14:12:33,2025-08-20 14:13:04,"(183,382)","(493,129)",img_447,18
9e17b021,2025-08-20 14:13:11,2025-08-20 14:13:42,"(201,161)","(88,15)",img_468,19
9e17b021,2025-08-20 14:13:47,2025-08-20 14:14:18,"(199,465)","(442,203)",img_385,20
9e17b021,2025-08-20 14:14:29,2025-08-20 14:15:00,"(450,149)","(497,464)",img_643,21
9e17b021,2025-08-20 14:15:12,2025-08-20 14:15:43,"(182,61)","(232,49)",img_599,22
9e17b021,2025-08-20 14:15:57,2025-08-20 14:16:28,"(41,87)","(430,339)",img_797,23
9e17b021,2025-08-20 14:16:41,2025-08-20 14:17:12,"(343,475)","(108,95)",img_116,24
9e17b021,2025-08-20 14:17:23,2025-08-20 14:17:54,"(307,219)","(136,191)",img_338,25
9e17b021,2025-08-20 14:18:00,2025-08-20 14:18:31,"(298,321)","(452,11)",img_370,26
9e17b021,2025-08-20 14:18:37,2025-08-20 14:19:08,"(376,264)","(45,180)",img_567,27
9e17b021,2025-08-20 14:19:20,2025-08-20 14:19:51,"(362,183)","(80,211)",img_328,28
9e17b021,2025-08-20 14:20:02,2025-08-20 14:20:33,"(96,413)","(158,301)",img_635,29
9e17b021,2025-08-20 14:20:41,2025-08-20 14:21:12,"(6,392)","(211,140)",img_831,30
9e17b021,2025-08-20 14:21:23,2025-08-20 14:21:54,"(142,50)","(187,250)",img_239,31
9e17b021,2025-08-20 14:22:00,2025-08-20 14:22:31,"(167,172)","(416,475)",img_770,32
9e17b021,2025-08-20 14:22:41,2025-08-20 14:23:12,"(309,385)","(35,275)",img_947,33
9e17b021,2025-08-20 14:23:27,2025-08-20 14:23:58,"(291,223)","(185,393)",img_146,34
9e17b021,2025-08-20 14:24:03,2025-08-20 14:24:34,"(270,333)","(379,51)",img_723,35
9e17b021,2025-08-20 14:24:40,2025-08-20 14:25:11,"(285,20)","(303,21)",img_132,36
9e17b021,2025-08-20 14:25:16,2025-08-20 14:25:47,"(446,51)","(464,91)",img_416,37
9e17b021,2025-08-20 14:26:02,2025-08-20 14:26:33,"(32,121)","(162,104)",img_340,38
9e17b021,2025-08-20 14:26:40,2025-08-20 14:27:11,"(356,203)","(403,308)",img_593,39
9e17b021,2025-08-20 14:27:18,2025-08-20 14:27:49,"(485,16)","(134,135)",img_626,40
9e17b021,2025-08-20 14:28:02,2025-08-20 14:28:33,"(5,351)","(312,344)",img_756,41
9e17b021,2025-08-20 14:28:42,2025-08-20 14:29:13,"(452,190)","(474,230)",img_788,42
9e17b021,2025-08-20 14:29:20,2025-08-20 14:29:51,"(160,407)","(312,442)",img_593,43
9e17b021,2025-08-20 14:30:03,2025-08-20 14:30:34,"(345,475)","(456,431)",img_149,44
9e17b021,2025-08-20 14:30:48,2025-08-20 14:31:19,"(17,404)","(352,57)",img_705,45
9e17b021,2025-08-20 14:31:33,2025-08-20 14:32:04,"(235,406)","(9,201)",img_973,46
9e17b021,2025-08-20 14:32:10,2025-08-20 14:32:41,"(128,134)","(302,265)",img_916,47
829759bd,2025-08-20 14:07:00,2025-08-20 14:07:27,"(390,433)","(229,379)",img_209,1
829759bd,2025-08-20 14:07:42,2025-08-20 14:08:09,"(398,255)","(449,332)",img_983,2
829759bd,2025-08-20 14:08:19,2025-08-20 14:08:46,"(292,192)","(123,443)",img_396,3
829759bd,2025-08-20 14:08:59,2025-08-20 14:09:26,"(345,325)","(175,353)",img_554,4
829759bd,2025-08-20 14:09:35,2025-08-20 14:10:02,"(371,169)","(238,322)",img_699,5
829759bd,2025-08-20 14:10:09,2025-08-20 14:10:36,"(396,135)","(31,374)",img_519,6
829759bd,2025-08-20 14:10:45,2025-08-20 14:11:12,"(212,464)","(133,437)",img_850,7
829759bd,2025-08-20 14:11:27,2025-08-20 14:11:54,"(255,5)","(71,365)",img_185,8
829759bd,2025-08-20 14:12:07,2025-08-20 14:12:34,"(238,3)","(392,185)",img_955,9
829759bd,2025-08-20 14:12:39,2025-08-20 14:13:06,"(170,134)","(185,348)",img_496,10
829759bd,2025-08-20 14:13:20,2025-08-20 14:13:47,"(171,170)","(220,196)",img_284,11
829759bd,2025-08-20 14:13:59,2025-08-20 14:14:26,"(128,101)","(208,325)",img_271,12
829759bd,2025-08-20 14:14:37,2025-08-20 14:15:04,"(409,283)","(131,382)",img_509,13
829759bd,2025-08-20 14:15:14,2025-08-20 14:15:41,"(375,347)","(25,166)",img_146,14
829759bd,2025-08-20 14:15:53,2025-08-20 14:16:20,"(257,91)","(474,241)",img_586,15
829759bd,2025-08-20 14:16:33,2025-08-20 14:17:00,"(267,115)","(54,94)",img_175,16
829759bd,2025-08-20 14:17:05,2025-08-20 14:17:32,"(414,434)","(11,18)",img_700,17
829759bd,2025-08-20 14:17:41,2025-08-20 14:18:08,"(128,396)","(57,80)",img_659,18
829759bd,2025-08-20 14:18:15,2025-08-20 14:18:42,"(83,46)","(459,363)",img_208,19
829759bd,2025-08-20 14:18:53,2025-08-20 14:19:20,"(313,217)","(393,127)",img_222,20
829759bd,2025-08-20 14:19:25,2025-08-20 14:19:52,"(246,413)","(177,233)",img_348,21
829759bd,2025-08-20 14:20:05,2025-08-20 14:20:32,"(39,144)","(11,11)",img_455,22
829759bd,2025-08-20 14:20:42,2025-08-20 14:21:09,"(344,168)","(438,373)",img_276,23
829759bd,2025-08-20 14:21:19,2025-08-20 14:21:46,"(113,21)","(169,442)",img_486,24
829759bd,2025-08-20 14:21:52,2025-08-20 14:22:19,"(480,316)","(82,371)",img_985,25
829759bd,2025-08-20 14:22:34,2025-08-20 14:23:01,"(435,142)","(282,369)",img_511,26
829759bd,2025-08-20 14:23:08,2025-08-20 14:23:35,"(388,91)","(51,337)",img_422,27
829759bd,2025-08-20 14:23:45,2025-08-20 14:24:12,"(159,422)","(31,393)",img_443,28
829759bd,2025-08-20 14:24:23,2025-08-20 14:24:50,"(39,362)","(449,120)",img_202,29
829759bd,2025-08-20 14:24:57,2025-08-20 14:25:24,"(159,230)","(69,437)",img_734,30
829759bd,2025-08-20 14:25:39,2025-08-20 14:26:06,"(393,142)","(414,151)",img_486,31
829759bd,2025-08-20 14:26:17,2025-08-20 14:26:44,"(79,41)","(177,377)",img_308,32
829759bd,2025-08-20 14:26:49,2025-08-20 14:27:16,"(32,462)","(172,178)",img_200,33
829759bd,2025-08-20 14:27:25,2025-08-20 14:27:52,"(272,158)","(294,12)",img_176,34
829759bd,2025-08-20 14:28:03,2025-08-20 14:28:30,"(329,266)","(57,153)",img_101,35
829759bd,2025-08-20 14:28:43,2025-08-20 14:29:10,"(442,418)","(72,498)",img_931,36
829759bd,2025-08-20 14:29:21,2025-08-20 14:29:48,"(67,404)","(371,326)",img_214,37
829759bd,2025-08-20 14:29:53,2025-08-20 14:30:20,"(59,74)","(288,167)",img_858,38
829759bd,2025-08-20 14:30:30,2025-08-20 14:30:57,"(293,485)","(64,84)",img_756,39
829759bd,2025-08-20 14:31:09,2025-08-20 14:31:36,"(162,305)","(238,98)",img_959,40
829759bd,2025-08-20 14:31:49,2025-08-20 14:32:16,"(97,500)","(50,212)",img_911,41
829759bd,2025-08-20 14:32:26,2025-08-20 14:32:53,"(134,468)","(396,367)",img_391,42
829759bd,2025-08-20 14:33:05,2025-08-20 14:33:32,"(137,184)","(448,400)",img_838,43
829759bd,2025-08-20 14:33:47,2025-08-20 14:34:14,"(344,266)","(54,408)",img_727,44
829759bd,2025-08-20 14:34:29,2025-08-20 14:34:56,"(93,93)","(82,164)",img_864,45
829759bd,2025-08-20 14:35:08,2025-08-20 14:35:35,"(173,381)","(111,167)",img_119,46
829759bd,2025-08-20 14:35:50,2025-08-20 14:36:17,"(248,289)","(398,107)",img_770,47
95e08f24,2025-08-20 14:05:00,2025-08-20 14:05:35,"(222,344)","(112,271)",img_982,1
95e08f24,2025-08-20 14:05:50,2025-08-20 14:06:25,"(495,321)","(398,103)",img_602,2
95e08f24,2025-08-20 14:06:34,2025-08-20 14:07:09,"(61,355)","(48,473)",img_184,3
95e08f24,2025-08-20 14:07:17,2025-08-20 14:07:52,"(107,328)","(128,179)",img_274,4
95e08f24,2025-08-20 14:07:57,2025-08-20 14:08:32,"(428,132)","(111,474)",img_152,5
95e08f24,2025-08-20 14:08:40,2025-08-20 14:09:15,"(214,236)","(58,251)",img_316,6
95e08f24,2025-08-20 14:09:27,2025-08-20 14:10:02,"(75,425)","(457,458)",img_147,7
95e08f24,2025-08-20 14:10:12,2025-08-20 14:10:47,"(142,218)","(311,107)",img_828,8
95e08f24,2025-08-20 14:10:53,2025-08-20 14:11:28,"(55,222)","(426,463)",img_343,9
95e08f24,2025-08-20 14:11:34,2025-08-20 14:12:09,"(354,51)","(145,176)",img_209,10
95e08f24,2025-08-20 14:12:19,2025-08-20 14:12:54,"(223,282)","(31,409)",img_508,11
95e08f24,2025-08-20 14:13:03,2025-08-20 14:13:38,"(250,487)","(32,214)",img_124,12
95e08f24,2025-08-20 14:13:45,2025-08-20 14:14:20,"(420,497)","(163,26)",img_563,13
95e08f24,2025-08-20 14:14:29,2025-08-20 14:15:04,"(37,167)","(199,13)",img_487,14
95e08f24,2025-08-20 14:15:12,2025-08-20 14:15:47,"(157,258)","(76,387)",img_426,15
95e08f24,2025-08-20 14:15:54,2025-08-20 14:16:29,"(119,254)","(66,471)",img_114,16
95e08f24,2025-08-20 14:16:43,2025-08-20 14:17:18,"(309,428)","(497,131)",img_835,17
95e08f24,2025-08-20 14:17:29,2025-08-20 14:18:04,"(388,102)","(219,349)",img_381,18
95e08f24,2025-08-20 14:18:16,2025-08-20 14:18:51,"(85,337)","(250,88)",img_476,19
95e08f24,2025-08-20 14:19:06,2025-08-20 14:19:41,"(79,110)","(352,227)",img_719,20
95e08f24,2025-08-20 14:19:48,2025-08-20 14:20:23,"(180,114)","(118,38)",img_406,21
95e08f24,2025-08-20 14:20:30,2025-08-20 14:21:05,"(84,99)","(232,345)",img_657,22
95e08f24,2025-08-20 14:21:15,2025-08-20 14:21:50,"(299,457)","(72,437)",img_594,23
95e08f24,2025-08-20 14:22:02,2025-08-20 14:22:37,"(301,477)","(484,157)",img_239,24
95e08f24,2025-08-20 14:22:47,2025-08-20 14:23:22,"(183,207)","(229,262)",img_185,25
95e08f24,2025-08-20 14:23:32,2025-08-20 14:24:07,"(495,487)","(103,444)",img_592,26
95e08f24,2025-08-20 14:24:15,2025-08-20 14:24:50,"(185,188)","(453,490)",img_873,27
95e08f24,2025-08-20 14:24:57,2025-08-20 14:25:32,"(46,129)","(452,133)",img_323,28
95e08f24,2025-08-20 14:25:46,2025-08-20 14:26:21,"(471,411)","(134,257)",img_683,29
95e08f24,2025-08-20 14:26:30,2025-08-20 14:27:05,"(183,8)","(410,269)",img_323,30
95e08f24,2025-08-20 14:27:11,2025-08-20 14:27:46,"(1,319)","(104,444)",img_939,31
95e08f24,2025-08-20 14:28:00,2025-08-20 14:28:35,"(85,212)","(385,212)",img_759,32
95e08f24,2025-08-20 14:28:46,2025-08-20 14:29:21,"(121,233)","(420,405)",img_410,33
95e08f24,2025-08-20 14:29:27,2025-08-20 14:30:02,"(277,81)","(15,372)",img_857,34
95e08f24,2025-08-20 14:30:17,2025-08-20 14:30:52,"(477,236)","(160,417)",img_964,35
95e08f24,2025-08-20 14:31:04,2025-08-20 14:31:39,"(78,437)","(108,421)",img_225,36
95e08f24,2025-08-20 14:31:44,2025-08-20 14:32:19,"(498,491)","(416,374)",img_762,37
95e08f24,2025-08-20 14:32:32,2025-08-20 14:33:07,"(18,16)","(391,339)",img_888,38
95e08f24,2025-08-20 14:33:13,2025-08-20 14:33:48,"(322,1)","(381,368)",img_199,39
95e08f24,2025-08-20 14:33:57,2025-08-20 14:34:32,"(133,158)","(302,170)",img_829,40
95e08f24,2025-08-20 14:34:44,2025-08-20 14:35:19,"(390,129)","(177,229)",img_178,41
95e08f24,2025-08-20 14:35:26,2025-08-20 14:36:01,"(17,383)","(313,111)",img_412,42
95e08f24,2025-08-20 14:36:15,2025-08-20 14:36:50,"(71,273)","(40,229)",img_738,43
95e08f24,2025-08-20 14:37:00,2025-08-20 14:37:35,"(403,165)","(230,118)",img_679,44
95e08f24,2025-08-20 14:37:47,2025-08-20 14:38:22,"(346,67)","(182,171)",img_665,45
95e08f24,2025-08-20 14:38:27,2025-08-20 14:39:02,"(179,167)","(53,163)",img_523,46
95e08f24,2025-08-20 14:39:13,2025-08-20 14:39:48,"(315,330)","(436,40)",img_363,47
ed9858d4,2025-08-20 14:10:00,2025-08-20 14:10:36,"(379,226)","(237,486)",img_475,1
ed9858d4,2025-08-20 14:10:51,2025-08-20 14:11:27,"(79,226)","(324,449)",img_807,2
ed9858d4,2025-08-20 14:11:40,2025-08-20 14:12:16,"(365,102)","(133,410)",img_478,3
ed9858d4,2025-08-20 14:12:31,2025-08-20 14:13:07,"(32,466)","(294,416)",img_506,4
ed9858d4,2025-08-20 14:13:14,2025-08-20 14:13:50,"(74,324)","(200,139)",img_231,5
ed9858d4,2025-08-20 14:13:58,2025-08-20 14:14:34,"(104,254)","(27,267)",img_197,6
ed9858d4,2025-08-20 14:14:39,2025-08-20 14:15:15,"(184,180)","(10,282)",img_952,7
ed9858d4,2025-08-20 14:15:26,2025-08-20 14:16:02,"(107,83)","(65,303)",img_892,8
ed9858d4,2025-08-20 14:16:13,2025-08-20 14:16:49,"(424,287)","(220,196)",img_598,9
ed9858d4,2025-08-20 14:17:00,2025-08-20 14:17:36,"(280,426)","(53,256)",img_779,10
ed9858d4,2025-08-20 14:17:41,2025-08-20 14:18:17,"(64,175)","(220,14)",img_499,11
ed9858d4,2025-08-20 14:18:31,2025-08-20 14:19:07,"(211,368)","(113,405)",img_822,12
ed9858d4,2025-08-20 14:19:16,2025-08-20 14:19:52,"(365,112)","(250,244)",img_506,13
ed9858d4,2025-08-20 14:20:00,2025-08-20 14:20:36,"(372,71)","(143,171)",img_434,14
ed9858d4,2025-08-20 14:20:45,2025-08-20 14:21:21,"(285,168)","(41,436)",img_643,15
ed9858d4,2025-08-20 14:21:27,2025-08-20 14:22:03,"(272,434)","(333,60)",img_594,16
ed9858d4,2025-08-20 14:22:16,2025-08-20 14:22:52,"(65,140)","(272,137)",img_575,17
ed9858d4,2025-08-20 14:23:01,2025-08-20 14:23:37,"(441,20)","(391,312)",img_745,18
ed9858d4,2025-08-20 14:23:48,2025-08-20 14:24:24,"(411,182)","(9,235)",img_777,19
ed9858d4,2025-08-20 14:24:32,2025-08-20 14:25:08,"(499,324)","(189,446)",img_288,20
ed9858d4,2025-08-20 14:25:14,2025-08-20 14:25:50,"(278,32)","(487,267)",img_817,21
ed9858d4,2025-08-20 14:25:57,2025-08-20 14:26:33,"(51,192)","(79,328)",img_287,22
ed9858d4,2025-08-20 14:26:46,2025-08-20 14:27:22,"(21,248)","(22,29)",img_895,23
ed9858d4,2025-08-20 14:27:27,2025-08-20 14:28:03,"(64,499)","(244,323)",img_134,24
ed9858d4,2025-08-20 14:28:10,2025-08-20 14:28:46,"(499,341)","(406,156)",img_258,25
ed9858d4,2025-08-20 14:28:58,2025-08-20 14:29:34,"(40,433)","(99,138)",img_278,26
ed9858d4,2025-08-20 14:29:39,2025-08-20 14:30:15,"(375,249)","(236,179)",img_625,27
ed9858d4,2025-08-20 14:30:26,2025-08-20 14:31:02,"(175,198)","(329,146)",img_542,28
ed9858d4,2025-08-20 14:31:07,2025-08-20 14:31:43,"(243,17)","(152,36)",img_429,29
ed9858d4,2025-08-20 14:31:52,2025-08-20 14:32:28,"(439,9)","(12,438)",img_697,30
ed9858d4,2025-08-20 14:32:33,2025-08-20 14:33:09,"(6,286)","(175,302)",img_313,31
ed9858d4,2025-08-20 14:33:17,2025-08-20 14:33:53,"(65,410)","(17,65)",img_570,32
ed9858d4,2025-08-20 14:34:07,2025-08-20 14:34:43,"(353,2)","(271,258)",img_420,33
ed9858d4,2025-08-20 14:34:49,2025-08-20 14:35:25,"(170,248)","(289,120)",img_295,34
ed9858d4,2025-08-20 14:35:32,2025-08-20 14:36:08,"(75,163)","(60,8)",img_498,35
ed9858d4,2025-08-20 14:36:16,2025-08-20 14:36:52,"(214,10)","(436,203)",img_105,36
ed9858d4,2025-08-20 14:37:00,2025-08-20 14:37:36,"(198,347)","(337,326)",img_793,37
